Date,ASIANPAINT.BO,BHARTIARTL.BO,ICICIBANK.BO,INFY.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TATASTEEL.BO,WIPRO.BO,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO,Open
01-01-2018,1108.089844,471.0462952,301.562561,455.8787842,9163.077148,7216.892578,892.1370239,299.5687256,643.697876,232.4919128,1184.472656,156.8301849,261.1976624,2154.896484,597.5015869,703.8499756,531.9954834,148.1996307,424.7490845,17580.88672,34059.98828
02-01-2018,1104.56189,460.4775085,300.3002014,453.6535034,9049.029297,7224.568359,891.9903564,295.5198669,648.5009155,233.333374,1174.132324,153.2868195,256.8265686,2121.770752,592.7156372,704.2999878,526.5823364,146.9636993,414.7177429,17649.11914,33913.55078
03-01-2018,1102.870605,462.3950195,305.9323425,449.0706177,8927.301758,7220.752441,896.8348389,295.4710999,652.2365112,226.9677124,1159.951416,153.0926666,255.3209534,2121.270264,592.9110718,712.3499756,531.9954834,146.8876495,413.9044189,17802.79297,33929.60938
04-01-2018,1132.783936,465.9625854,305.6895447,447.3962097,8894.595703,7234.356445,900.6517944,300.5443726,676.6521606,227.9189148,1147.542725,158.8688202,257.6036377,2102.718994,600.5782471,716.7999878,539.5167236,147.2298889,416.6607666,17755.89453,33912.48828
05-01-2018,1144.091919,481.6150513,303.5532532,445.986084,8943.703125,7206.917969,903.3433228,298.7394714,685.1463623,226.6384583,1175.708008,156.9272614,258.4778442,2111.290039,598.7224731,724.4500122,540.6665039,145.917923,427.4602356,18698.74219,34021.26953
08-01-2018,1143.463745,460.2991638,305.0583496,456.3635559,8958.06543,7309.870117,908.677124,298.2028503,683.9455566,227.5896301,1163.890381,156.8301849,256.049469,2128.614014,599.1619873,735.4000244,540.2833862,147.6482086,425.0201721,19045.56836,34216.32813
09-01-2018,1151.968872,454.8586731,303.116272,458.8532104,8898.861328,7166.289551,920.8620605,296.8369751,686.925293,232.3821716,1153.402344,159.4027557,260.1777039,2107.69751,598.9666748,790.7999878,529.0255737,149.1503754,425.3817139,19097.43164,34431.60938
10-01-2018,1137.95459,451.6032715,302.9705505,463.3919067,8896.396484,7193.084961,921.4492188,293.7149353,686.5250244,238.5648804,1152.762207,157.5097351,254.9324036,2129.909912,603.7036133,822.2999878,527.2050781,147.6672211,412.4584656,19147.87305,34538.78125
11-01-2018,1149.020752,459.0951233,300.4944153,473.9676819,8855.962891,7221.259277,917.2408447,294.6417847,686.3026733,234.9064789,1155.470459,158.0922089,259.7892456,2146.574707,598.3806763,843.5,527.0612183,147.7432861,408.4369507,19184.29883,34471.48047
12-01-2018,1149.794312,454.3235474,308.4085388,475.2014771,8968.588867,7158.935059,926.5874634,294.4466553,685.8134155,233.223587,1143.65271,157.8009796,258.9149475,2139.595703,596.2807617,833.2999878,524.9533691,147.5531616,408.3917236,18539.85352,34578.98828
15-01-2018,1161.440308,449.5965881,319.9156189,476.0827942,8870.136719,7121.293945,927.4193726,294.8857117,696.6203003,231.5407257,1161.920654,159.2086029,257.3607788,2149.008057,594.4738159,832.0999756,535.0136108,148.598938,408.979126,18774.30273,34687.21094
16-01-2018,1150.470947,443.1750793,324.4795837,494.8106384,8836.055664,7130.991699,903.8326416,288.9343262,681.588501,242.8452148,1132.77063,152.4131165,253.3782501,2123.976563,587.1973267,783.8499756,532.282959,146.4312897,396.6433716,18773.51563,34877.71094
17-01-2018,1154.143433,446.2520447,333.1706238,507.7437134,8827.996094,7131.818359,904.9581299,298.8858032,688.65979,238.3453827,1108.790649,160.1308441,250.9983978,2156.192139,592.0808716,830.9500122,534.4866943,146.317215,390.8595276,18615.17188,34753.80078
18-01-2018,1149.890869,441.0345154,336.0837402,507.9641418,8872.553711,7142.895508,899.7219849,295.3735046,668.7359009,238.5648804,1099.090332,157.7038879,246.0444946,2110.653076,589.1507568,793.9500122,528.3067627,143.8072968,390.1365051,18159.46289,35366.44922
