Date,ASIANPAINT.BO,BHARTIARTL.BO,ICICIBANK.BO,INFY.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TATASTEEL.BO,WIPRO.BO
28-02-2018,1081.366089,383.5719299,304.4272156,517.4381714,8411.956055,7137.058594,932.1661377,262.2019348,627.0609741,214.9349823
01-03-2018,1082.091064,383.0334167,296.4159241,511.2690735,8414.75293,7216.292969,927.5172729,256.1529846,630.4216919,214.3477325
05-03-2018,1067.303711,378.0519409,294.3281555,508.1183472,8342.086914,7091.096191,904.5177002,257.3725281,611.7976074,213.2833405
06-03-2018,1065.80542,371.454895,286.5597229,505.3643494,8170.68457,7066.463379,891.5009766,250.2503967,616.6054077,210.0534363
07-03-2018,1070.831055,362.0754089,278.402832,503.5796204,8227.897461,7083.054688,872.5629883,240.6403809,604.9359741,209.3560791
08-03-2018,1087.890015,360.1007996,288.3561707,509.7047424,8279.185547,7088.754395,892.1860352,250.4942932,592.9867554,209.2092438
09-03-2018,1089.968018,360.7739563,284.229187,512.6570435,8214.103516,7032.452148,892.6264038,246.9820099,565.3537598,209.3560791
12-03-2018,1093.060669,377.6480408,291.9976807,522.5497437,8353.273438,7004.73877,909.5580444,246.6893311,581.3174438,213.4301605
13-03-2018,1099.681396,382.2705078,295.2021179,520.2143555,8298.524414,7081.078613,910.781311,248.6893768,586.5452271,216.9536743
14-03-2018,1098.52124,379.2187805,297.4841309,520.0600586,8380.385742,7036.26709,908.8239746,250.738205,579.21698,215.3387146
15-03-2018,1122.055542,377.6031494,292.7259521,520.9193726,8373.799805,7093.810059,892.8222046,247.9088745,570.7683716,215.2653046
16-03-2018,1087.745239,375.3593445,289.4728699,516.6669922,8238.657227,7071.702637,881.3224487,246.4454346,560.5928345,217.1004944
19-03-2018,1065.563843,359.7417297,286.4625854,505.4964905,8321.418945,7045.183105,876.2330933,242.055069,536.8340454,211.4481659
20-03-2018,1069.478027,359.1583252,283.3066406,512.0841675,8341.091797,7207.561523,870.6055908,243.1770325,553.8712769,215.6323395
21-03-2018,1066.868652,375.7182922,281.2189026,514.9484253,8415.749023,7218.086914,877.2608643,241.6648102,543.6488647,216.9536743
