Date,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO
08-10-2018,1120.673218,93.38943481,277.7834167,2621.068604,610.9041138,503.6000061,578.3146973,105.7807999,369.5843201,15091.77734
15-10-2018,1110.384888,99.16560364,276.9530945,2536.78125,622.0925903,528.0499878,580.5997925,105.3057327,352.0886536,14332.8877
22-10-2018,1072.793335,96.01055908,275.5853882,2428.391602,592.2565308,528.8499756,585.3643188,108.552002,366.1592102,13373.20117
29-10-2018,1138.529175,106.4464874,297.3215637,2561.819092,597.2128296,604.25,627.4677734,117.3406677,403.0019531,14506.66504
05-11-2018,1132.98938,108.1453629,301.8641663,2626.478027,517.0283203,617.4000244,629.6071167,112.2337189,423.2284241,15191.1416
12-11-2018,1220.686401,111.7857971,309.7282104,2714.394531,521.0523071,630.9000244,655.4719849,113.5401611,426.1906128,15714.93457
19-11-2018,1200.802368,106.7377167,306.2602844,2737.629395,508.1952515,652.25,644.0952148,109.5021286,419.5718994,15520.3877
26-11-2018,1248.731934,101.641098,312.1216736,2884.22583,529.8853149,659.8499756,665.6817627,105.7807999,418.4610291,16217.5625
03-12-2018,1194.57019,103.1943588,303.3783875,2745.092773,505.5453491,657.3499756,658.3890381,102.5741196,435.9104614,16061.65234
10-12-2018,1230.875854,108.0482864,314.7105103,2863.547607,511.7284546,664.8499756,690.8660889,111.9962006,436.8824463,16669.35352
17-12-2018,1236.959595,111.6401825,322.6234131,2854.006836,507.2137756,675.6500244,672.0507813,110.6106033,450.7216187,16904.35352
24-12-2018,1227.166138,114.9408493,322.2815247,2828.307617,512.3173218,666.2999878,671.7590942,112.4099655,467.6155396,17066.12305
31-12-2018,1277.271606,117.9988174,315.5896912,2849.853271,503.8768921,679.1500244,661.4033813,109.1026001,465.3013,16449.21289
07-01-2019,1280.734131,117.4163437,317.2992859,2829.357666,501.5704346,727.75,668.939209,106.9385147,496.8212891,15635.74805
14-01-2019,1345.233032,114.5039902,318.5692749,2887.831787,500.2455444,748.3499756,658.1945801,112.2058105,488.258606,15319.88672
21-01-2019,1278.211548,106.8348007,306.3579102,2928.503418,497.497406,745.5999756,688.9699707,112.0833206,494.3218994,15485.54492
28-01-2019,1324.805176,107.7085037,317.8854065,2965.843018,510.8942566,746.3499756,716.050354,112.0016479,455.4426575,15527.18066
