Date,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO
28-02-2018,1184.571289,137.8513489,241.3819885,2266.640381,575.62323,781.0999756,485.9579468,148.8855591,361.3918762,16415.08203
01-03-2018,1164.136475,134.3565216,238.1765137,2245.996826,568.3468628,777.2999878,489.5029297,149.6903229,359.3553467,16355.53516
05-03-2018,1150.595581,134.5021515,235.7481232,2226.89917,565.9051514,768.0999756,484.9998474,149.0033264,357.7353821,16313.50781
06-03-2018,1143.258789,131.2014771,235.5538635,2189.090088,569.177124,761.9500122,480.1134338,150.1221619,352.0886536,16362.71973
07-03-2018,1130.85022,128.7745209,237.5937195,2211.416016,566.539978,745.2000122,479.7301636,149.0229492,348.6635742,15931.22559
08-03-2018,1146.262329,130.4248657,238.7107544,2204.663574,563.2680054,749.9000244,481.9338684,150.0632629,352.8755188,15841.95313
09-03-2018,1132.426025,127.6581192,239.6820984,2201.071289,559.9960327,740.3499756,481.742218,151.3784332,343.5722046,15771.4834
12-03-2018,1113.271362,128.3862152,239.0021667,2215.48584,565.9051514,732.9000244,483.8022156,157.247467,349.3578491,15932.50586
13-03-2018,1080.920654,137.2688751,239.7792511,2212.325439,564.9772339,766.9500122,491.6588135,160.1329498,367.6403503,16507.1582
14-03-2018,1073.534668,141.3947144,240.7506104,2191.841064,564.2446899,751.9500122,495.1559143,155.1079254,368.7974548,16698.64453
15-03-2018,1080.03418,139.5016785,243.1304321,2206.755371,557.9448853,753.2000122,498.7009277,150.8680725,367.7791748,16540.22656
16-03-2018,1054.035645,139.5502319,244.9274445,2210.483887,545.9802246,746.4500122,495.4433289,144.9794006,366.7145996,16163.11523
19-03-2018,1041.873169,129.5026093,238.0308228,2186.156982,546.3220825,735.9000244,484.0417175,139.6010437,358.7536621,15755.88184
20-03-2018,1027.445801,131.832489,238.2250671,2189.544678,539.6315918,729.75,477.4786072,136.381897,360.1421814,16157.89746
21-03-2018,1013.609375,131.2014771,236.2337952,2195.365234,536.65271,741.4000244,477.9577026,135.6752472,364.076355,15868.67871
22-03-2018,1006.61731,131.0558624,235.7481232,2200.139648,527.9599609,737.9500122,475.4186401,133.5553436,360.7902222,16031.91309
23-03-2018,991.6481934,129.21138,236.136673,2201.230713,524.7856445,724.0499878,470.1969299,132.4953918,353.1994324,15756.91406
26-03-2018,991.598999,137.171814,240.3135071,2206.346191,528.1552124,731,472.3047485,131.160614,355.3748779,15997.80957
27-03-2018,1014.594177,139.5502319,242.4990234,2255.204102,530.3529053,726.3499756,473.2149963,137.2848358,372.6390686,15884.47363
28-03-2018,1046.501953,138.0455017,249.1042786,2260.547363,530.5970459,725.9000244,467.3225098,138.4233093,377.2675781,15926.59961
02-04-2018,1080.182007,137.8513489,254.7381287,2320.682129,562.9749756,727.5499878,486.4849243,133.9086456,382.2200317,16175.41699
03-04-2018,1076.636841,141.0064087,252.4068756,2315.884766,557.2123413,730.1500244,487.4430542,136.6959686,385.7377014,16360.89746
04-04-2018,1050.293213,135.8612366,251.2412567,2284.419189,556.333374,712.5,482.3650513,134.1834717,383.145752,16040.82227
05-04-2018,1065.65625,143.6275177,253.0382538,2299.583252,548.031311,722.9000244,490.6048584,136.2249146,400.1322937,16465.37695
06-04-2018,1058.614868,145.9088593,257.4579468,2353.125244,546.0778809,729.1500244,509.096405,137.0100403,395.3186646,16774.18359
09-04-2018,1044.926147,148.8697662,260.0319824,2348.032227,543.9779663,715.4000244,511.7792969,141.0143585,393.4672546,16838.85156
10-04-2018,1065.853149,148.4814453,258.9149475,2335.369385,544.8569336,716.2000122,511.7314453,140.7788239,403.4648132,16713.21094
11-04-2018,1088.996216,146.2001038,259.4977722,2335.414551,547.5918579,725.5999756,508.7611694,131.7494965,402.3539124,16629.25391
12-04-2018,1061.02771,144.743927,258.3322144,2348.282471,542.3175659,720.25,525.6719971,132.181366,397.0774841,16682.35547
13-04-2018,1065.803955,146.1515656,264.1603088,2366.879883,541.6826782,722.75,523.5641479,129.7866058,398.4197083,16674.18555
16-04-2018,1078.65564,145.2778473,262.6061401,2415.351318,569.958374,727.1500244,523.324646,129.5510254,410.9629517,16677.58008
17-04-2018,1068.807617,143.5304413,268.9198914,2432.402832,566.3934937,764.7000122,527.2050781,131.2391357,407.028717,16678.41797
18-04-2018,1059.008789,137.7542725,262.2175903,2437.109375,570.2514038,787.1500244,525.0013428,129.5117645,398.049469,16786.14453
19-04-2018,1104.900757,140.8122559,261.877655,2451.500732,570.5933228,789.7999878,528.7379761,124.3297348,395.5037842,16852.38281
20-04-2018,1115.388794,139.2104492,261.3433533,2422.240479,574.1582031,780,525.3366089,126.0570831,399.3454285,16637.27734
