Date,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO
01-05-2021,3159.46167,78.34227753,799.104126,3324.658203,939.3772583,1371.75,1018.034241,99.88546753,1291.761475,27359.4668
01-06-2021,3606.064941,83.43889618,798.2607422,3533.093994,961.9425049,1396.25,967.8139648,98.69689941,1458.333862,27312.24609
01-07-2021,4011.556152,77.95397186,836.559021,3310.237061,910.8242798,1608,1163.553345,94.35405731,1531.797119,28012.49805
01-08-2021,4952.104492,75.09015656,813.5899658,3869.290771,937.4473267,1488.900024,1256.911133,101.3026123,1490.634033,28131.47656
01-09-2021,4472.348145,79.36161041,805.5928345,3821.622314,979.3424072,2311.149902,1360.873291,115.7503967,1427.116943,28757.61914
01-10-2021,4249.209473,94.65145874,737.84198,3552.161377,902.1176147,2248.75,1251.856689,118.1964722,1445.728882,28493.01563
01-11-2021,5677.097168,83.24474335,750.8843994,3433.352783,966.6043091,2002.349976,1354.320679,109.8890305,1408.997314,25954.43945
01-12-2021,4998.905273,79.55576324,768.1580811,3490.893799,939.7348633,1872.849976,1387.946411,105.4876785,1471.726685,26852.84375
01-01-2022,4444.524414,104.4078445,719.1743774,3421.39917,940.1826782,1714.550049,1175.760986,118.3958511,1435.684448,24138.24414
01-02-2022,4788.431641,103.4370575,687.5142212,3317.786621,920.5779419,1500.900024,1177.598755,108.4664841,1342.476685,24266.3457
01-03-2022,4503.911621,108.3395157,696.7235107,3101.414307,1013.576172,1672.099976,1146.307373,115.0150528,1309.240967,23895.95898
01-04-2022,4445.571289,109.6015396,715.5404663,3177.781006,977.1033325,1573,1303.658325,121.8318405,1244.886719,25947.66992
01-05-2022,3968.229004,97.22403717,611.7985229,3538.804443,989.0452881,1398.300049,1192.847168,112.2109985,1139.25,22040.45117
01-06-2022,3669.796631,94.50583649,565.602478,3354.372803,910.7755737,1184.25,1092.416748,71.79376221,976.3499756,19042.39063
01-07-2022,4200.941406,116.25,621.9537354,3840.674072,973.4212646,1507.75,1246.208496,70.53676605,1065.650024,20399.92188
01-08-2022,4304.657715,130.8500061,670.7382813,3687.819092,1033.927246,1409.150024,1387.85144,69.18308258,1055.300049,22042.17969
01-09-2022,4383.25,132.3999939,616.5,3845,1115.199951,1193.449951,1344.859863,67,1040.199951,20984.39063
01-10-2022,4518.149902,147.75,585.6500244,3765.699951,1166.199951,1262.400024,1212.643066,68.25,1043.849976,22700.73828
01-11-2022,4733.25,166.1999969,621.9500122,4352.799805,1140.300049,1305.150024,1251.24585,76.65000153,1081.099976,23799.75
01-12-2022,4478.649902,185.6499939,581.4500122,4306.649902,1075.050049,1223.150024,1096.984741,76.5,1063.449951,23254.28516
