Date,BIOCON.NS,DABUR.NS,DLF.NS,GAIL.NS,HAVELLS.NS,IDBI.NS,MARICO.NS,NAUKRI.NS,PEL.NS,VEDL.NS
05-03-2018,310.0248413,304.6250305,212.9695892,91.48646545,485.9293518,84.65000153,287.1680908,1248.560669,2205.480469,153.5013123
06-03-2018,314.5511475,302.4691772,206.9024963,90.73370361,479.3660889,82.59999847,288.0989075,1213.074463,2140.966553,152.3108215
07-03-2018,300.5494995,303.1253052,205.8515015,90.89870453,480.2283936,79.15000153,284.3754883,1190.581787,2075.865479,150.318573
08-03-2018,298.5350647,304.671814,208.6700897,90.01187897,481.5218506,74.80000305,282.3276062,1185.61084,2106.631592,149.8569336
09-03-2018,296.0232239,306.7338867,201.9341736,90.10468292,482.192627,70.69999695,287.2611694,1250.037231,2134.731934,147.7917633
12-03-2018,296.072998,307.2025757,208.0012665,92.07424927,484.0610657,64.84999847,288.0524292,1209.28479,2182.574951,154.2301636
13-03-2018,300.3256531,304.7655945,210.103241,94.03350067,492.7802429,67.25,288.1455078,1231.186646,2242.525635,156.0037537
14-03-2018,301.2956238,304.6250305,211.1064453,94.45628357,495.4630432,73.69999695,283.1654358,1265.885498,2219.259521,154.9833527
15-03-2018,298.6842651,304.671814,215.4059906,92.87857056,498.9602966,78.84999847,280.2798157,1243.786621,2214.470215,154.0115204
16-03-2018,291.6213379,301.1100769,216.2181244,90.95026398,494.9840088,78.94999695,280.4194031,1265.393311,2251.425537,150.0999146
19-03-2018,288.0401001,299.6572876,204.8005219,91.16680145,485.3066406,73.75,282.2811279,1235.96106,2251.877441,149.2738342
20-03-2018,286.6473694,299.3291626,205.8037262,90.43466949,478.1204834,73.69999695,296.8954773,1252.744263,2231.592773,149.8479462
21-03-2018,288.5623474,302.2348328,206.4247589,89.72315216,477.928833,75.90000153,303.2718201,1247.526978,2238.775635,149.1433258
22-03-2018,288.4379883,297.0796204,203.7017059,90.41404724,475.150116,76.65000153,300.6189575,1228.08606,2238.730713,152.3010559
23-03-2018,284.1106873,298.2513123,193.956131,90.66152191,472.0361633,71.84999847,303.0391541,1211.253662,2164.368652,144.0544739
26-03-2018,285.3790588,295.767395,200.1187897,87.68141937,470.598938,72.25,306.8555603,1180.147827,2174.714111,147.8646088
27-03-2018,300.2013245,304.484375,198.9176025,88.25540924,473.6170654,76.25,303.1322327,1174.241943,2215.91626,149.7957306
28-03-2018,295.4014893,307.8117981,193.3921204,90.34528351,467.4370117,72.19999695,303.5045471,1157.015625,2198.206543,145.02005
02-04-2018,297.6895142,314.8416443,193.1519012,89.31408691,486.3605652,71.09999847,305.6454468,1188.268799,2232.767578,147.3426514
03-04-2018,302.7380676,316.5288086,195.3620911,90.67525482,486.743866,72.09999847,302.5271606,1211.598145,2254.904541,147.8124237
04-04-2018,297.5900269,314.4666748,190.8455963,90.26277161,483.2465515,70,303.3183594,1200.967163,2226.081055,143.1671448
