Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS
01-01-2018,411.0978699,342.6358337,168.1127625,401.7095947,3075.009277,1251.228638,109.4492111,148.1912842,551.3302612,451.1706238
08-01-2018,410.612854,344.1815186,186.3563995,413.2469177,3027.956787,1267.323608,106.3661346,149.9087982,555.8075562,472.8941956
15-01-2018,420.4586792,335.3293152,171.2790375,427.7077026,2947.810059,1256.670654,106.5202713,144.6442871,544.9952393,474.7402344
22-01-2018,423.4172668,337.6828308,180.5666962,450.581543,2932.576904,1266.170776,106.0270081,155.6960754,552.3781128,513.8511353
29-01-2018,405.4232483,335.2239075,175.1086884,442.2577515,2975.483398,1265.663696,101.8648376,143.8975067,525.0855103,531.8824463
05-02-2018,387.0411987,333.9944763,181.0189819,431.1057129,2911.966064,1229.552856,100.662468,139.9024811,555.0930786,511.1035156
12-02-2018,393.2978821,327.1796875,183.0394135,419.0759277,2869.34668,1247.124023,102.0707169,139.5664215,547.9960938,501.7443237
19-02-2018,394.3164063,302.0281982,187.5324249,427.3492737,2914.330322,1220.421753,102.540947,141.7319641,542.661377,533.5997925
26-02-2018,393.9283752,320.4841003,188.7084808,421.624939,2982.87915,1221.436157,102.1960983,141.6573029,510.0340576,525.3997192
05-03-2018,366.5736084,318.6709595,183.3710785,421.714447,2990.760254,1199.760864,103.0738602,134.3392029,482.789032,531.6677856
12-03-2018,359.3953857,324.581665,167.7810669,432.7156677,2957.19458,1198.285156,103.3559952,132.2856598,479.2167053,544.9766846
19-03-2018,351.538147,299.8510132,172.4338226,428.1542053,2846.824219,1200.59082,106.6162415,134.1136627,478.5975037,535.2311401
26-03-2018,343.486908,310.0043335,180.9612885,433.1629333,2954.442383,1229.829956,106.3968048,134.4160614,471.6433411,548.4113159
02-04-2018,367.9316101,314.7184143,176.170578,426.0299377,3151.791748,1268.061768,106.2400513,133.7734833,488.3142395,530.8091431
09-04-2018,371.6177673,294.0127258,182.0471954,443.2921448,3107.134766,1301.036011,107.1805267,137.9692535,488.6953125,576.6174316
16-04-2018,369.7262268,269.3545227,186.5504608,475.0883789,3121.144775,1353.841309,109.3122253,137.855835,481.3601379,601.4750366
23-04-2018,390.3878174,282.9528503,183.1650543,465.8312683,3096.794434,1359.513672,107.0551224,136.608429,499.3170776,575.7158813
30-04-2018,396.0139771,275.7366638,173.2961273,415.8337097,3051.970459,1350.52063,107.1491928,136.2682648,493.4107971,568.9755859
07-05-2018,400.3305969,289.5887451,173.1044922,417.175293,3017.403809,1387.322998,104.9861221,141.7492218,449.6854248,572.2385254
14-05-2018,377.8258972,280.1969299,170.4217072,399.1933289,2969.661621,1481.127319,104.4531937,139.8970642,442.8741455,594.9923096
21-05-2018,368.5136414,275.9905396,176.0428314,410.5322266,2962.82373,1453.410034,103.6381378,132.6394806,444.3507385,603.4070435
28-05-2018,375.9828796,296.8049316,188.2112427,405.5350952,3024.075195,1465.492798,103.0425262,130.9384613,461.40271,602.0332031
04-06-2018,369.0956726,297.2400818,185.1771393,416.2242126,3031.456055,1471.719116,101.2243118,131.3164978,503.2228088,607.0131836
11-06-2018,361.7719727,298.9806519,178.2465668,425.0084839,3080.282471,1495.423584,97.83866119,125.0794983,544.2332153,607.270874
18-06-2018,354.8362427,309.2065735,169.1761322,405.5126953,3033.540283,1483.248413,98.62237549,120.6191483,549.9013062,593.4467163
25-06-2018,361.9659729,270.7324829,168.8567657,415.1261292,2896.651123,1525.154053,100.0957642,119.7497559,537.2791138,562.793457
02-07-2018,354.7877808,271.6390381,173.2322845,423.036438,3033.082275,1559.678223,94.13954163,117.5195465,531.6585693,545.1483154
09-07-2018,359.2983704,280.4145508,171.0604858,440.7171326,2881.973633,1619.480103,95.89506531,116.4989548,533.2303467,550.4290771
16-07-2018,358.9588623,282.0100098,168.3138123,447.8207397,2880.50415,1538.814819,97.58787537,119.4095383,533.5637817,566.2280884
23-07-2018,382.8215637,288.0658264,167.4514771,431.7984009,2732.936768,1541.74231,97.14899445,121.9421463,530.6583252,553.9064331
30-07-2018,389.5284729,290.7854309,178.3743134,431.888031,2772.686279,1638.391724,98.08945465,126.1001053,558.093811,581.9664307
06-08-2018,369.7863464,291.2568359,176.170578,433.8277588,2831.414551,1628.81958,100.0330582,127.9523163,527.7529297,567.2142944
13-08-2018,364.7167664,273.8510437,179.7476501,450.4668579,2765.64917,1658.60437,99.06124115,123.2651138,593.960083,603.8752441
20-08-2018,367.3003235,258.8748474,185.8797607,459.5834961,2740.059082,1655.072998,103.0111847,132.1102753,599.9615479,630.9649048
27-08-2018,373.5397644,262.6098022,182.6540375,469.9576416,2775.458252,1654.283081,107.5253601,136.1170807,621.9195557,672.4555054
03-09-2018,367.9827576,263.9601135,183.0372314,482.3077087,2839.901611,1522.923706,106.3027649,129.9556885,632.77948,678.0753174
10-09-2018,370.5662842,262.1483459,177.1606598,480.8483276,2718.18042,1514.141602,111.2718353,130.4470978,633.7319946,667.7575684
17-09-2018,352.6765442,278.4170227,175.8192749,487.2254944,2708.413086,1506.706909,107.0104904,136.3816528,604.8200073,648.0878906
24-09-2018,320.6504822,276.6792603,170.0704193,488.5278931,2502.032227,1494.71875,106.1201019,135.0105591,595.5122681,654.6298218
01-10-2018,294.2302246,196.1860199,167.9944305,486.8212585,2337.831543,1448.391968,103.6077805,112.0389786,571.3381958,627.4085083
08-10-2018,315.0447083,213.6379395,177.9591064,442.4280396,2468.509766,1458.661011,104.4346008,119.924736,564.3153687,609.2316895
15-10-2018,307.4403381,209.6816864,175.7553864,430.4596252,2313.94873,1466.839111,102.6855621,122.2485809,582.8042603,606.5973511
22-10-2018,296.4725647,203.506958,179.556015,434.0972595,2307.63623,1448.113403,101.3181152,115.6580429,529.3920898,573.6682739
29-10-2018,325.232605,223.5840759,167.068222,451.1629639,2470.770752,1531.334595,100.4912796,119.8866425,546.3997803,606.6851807
05-11-2018,329.1322937,219.516861,171.475708,462.5655212,2522.034424,1563.252197,98.23340607,119.1628113,570.8605347,620.998291
12-11-2018,338.73526,238.1519623,168.4096222,460.0004883,2526.470703,1578.673584,97.97900391,119.1247406,496.6185608,639.2630005
19-11-2018,358.9160461,236.7100067,163.9382782,440.582489,2488.811279,1565.588867,92.85903168,116.0008926,502.5426025,606.5973511
26-11-2018,356.4787292,239.88974,156.4328156,456.7604065,2606.054199,1639.330688,89.23371887,106.8960495,470.6768494,619.9006348
03-12-2018,364.0830994,240.6292419,151.2269287,432.8873291,2615.948975,1705.034912,87.67546844,106.2103348,392.9473572,609.6268921
10-12-2018,359.3547668,255.3450317,157.8700409,432.5498352,2827.362549,1738.914795,91.26899719,111.8865967,401.9289551,625.388916
17-12-2018,352.0428467,277.0489502,161.4470978,429.5122375,2835.466064,1685.594727,95.75292969,113.1437149,406.3720093,610.9439697
24-12-2018,377.683197,267.6205444,154.7720795,431.2673035,2663.545898,1702.931885,95.30773926,114.6675491,406.2764587,626.9694214
31-12-2018,372.5648804,265.8088074,155.5753021,419.5670776,2548.605713,1665.219727,92.7000351,111.0104065,414.4937439,598.0796509
07-01-2019,367.6903076,249.4291077,152.7795715,423.0320435,2473.031006,1653.723999,94.13108063,110.21035,424.6220093,613.9734497
14-01-2019,389.284729,261.9265137,151.2994537,434.8449402,2472.60376,1630.078003,91.77780914,111.8103943,373.3596802,622.7106934
21-01-2019,364.4730225,264.3297729,145.3461456,436.2399292,2277.610596,1641.947754,87.96166992,108.1913147,403.6010742,640.1850586
28-01-2019,329.960968,252.1652222,146.8262329,469.743103,2394.555908,1681.669434,89.13832092,108.0389481,404.4132996,655.5957642
04-02-2019,323.1853027,249.5030823,143.8331451,480.813385,2506.809326,1698.492554,83.98654938,109.829422,411.8660889,707.3602295
11-02-2019,341.3674927,242.440979,144.688324,476.6858826,2300.044189,1656.901733,88.9649353,102.8579254,404.0788269,702.1795044
18-02-2019,345.4133911,254.5315857,141.3991852,480.6986694,2329.480957,1652.929565,91.21761322,113.2199402,411.3406372,725.317688
25-02-2019,324.8426514,264.427063,153.0426788,474.5892944,2325.786133,1621.24585,93.37236786,113.6008911,427.4407349,730.4105835
04-03-2019,333.5681763,280.7030334,154.5227814,454.9537048,2382.070557,1590.356445,99.37953949,118.805748,434.7024841,712.4533081
11-03-2019,357.8923645,302.824585,160.7392273,464.0839844,2378.15918,1587.365723,103.1993103,123.2293701,443.6841125,701.8721924
18-03-2019,351.7016296,289.566925,152.5821991,462.0775146,2262.938965,1568.346191,105.5042496,120.3461456,452.1880188,692.6079712
25-03-2019,368.6652222,303.7797241,159.9847565,490.3022156,2219.345459,1595.216675,105.5434265,126.1916275,457.5387878,681.3244629
01-04-2019,377.4394531,273.6348267,158.298584,492.714447,2276.064453,1550.634888,105.6217804,124.4482803,442.5375366,682.5098267
08-04-2019,375.9770813,275.9653931,162.4128571,488.4987183,2294.753906,1609.095581,106.5228348,125.282959,444.3529968,689.6224976
15-04-2019,380.7541809,277.3026428,169.5960236,497.1555176,2383.11377,1626.152466,106.0527344,127.6678009,442.5852661,702.7940674
22-04-2019,381.9241028,283.530304,168.9552612,513.8830566,2263.547119,1633.115479,105.0732956,133.8683319,443.445282,722.902771
29-04-2019,377.5369873,290.9423218,170.0344238,515.3707886,2229.994141,1582.832886,106.1310883,135.338974,433.0780945,717.7658691
06-05-2019,363.205658,277.3408508,162.7163849,489.9415588,2179.48999,1577.13147,99.51012421,132.1989594,418.2679138,709.862915
13-05-2019,357.8923645,287.4655762,159.2765503,479.1430359,2279.672119,1623.255371,98.33482361,133.0336456,390.8929749,689.1833496
20-05-2019,399.960083,302.1750488,165.1782074,481.5105591,2458.6521,1635.218384,101.1947479,138.63797,397.2470703,646.1560669
27-05-2019,405.9558411,312.7964783,170.9786682,493.5263367,2329.828613,1671.575439,104.4072876,136.6903839,391.6096191,667.6697998
03-06-2019,414.5350952,307.9442139,179.1060486,487.6764221,2401.585449,1711.06311,105.8960114,133.1528778,381.4814148,659.2399902
10-06-2019,415.7050171,295.3361511,172.0915222,491.0192871,2321.179199,1703.773071,104.0155106,134.5837708,375.0795898,650.0197754
17-06-2019,391.9170227,290.3692932,171.4845276,486.163269,2265.285645,1651.153687,105.4259033,135.8954468,365.7635193,650.1953735
24-06-2019,399.9113464,299.8826904,171.1810303,480.9233704,2243.989258,1682.809082,110.7539978,133.3516083,383.1057739,620.4714355
01-07-2019,392.3557434,282.7661133,163.1547852,459.1279297,2183.83667,1686.386475,106.9537964,128.3832397,358.54953,598.0796509
08-07-2019,404.8833923,264.1978455,155.9716644,462.5157471,2233.818848,1612.770508,100.1369705,119.0029221,389.5553589,584.6445923
15-07-2019,395.3292236,268.2095032,149.6653442,458.76651,2075.265869,1619.548706,101.7824097,114.3922195,402.5978394,592.7671509
22-07-2019,372.0773926,262.7077332,142.0775452,452.3746948,2199.689941,1629.197632,100.920517,112.8023529,420.3700867,565.0628662
29-07-2019,366.2255249,261.6762085,133.0058899,456.4627991,2141.42749,1635.599243,96.45431519,106.8005371,401.9289551,570.7064209
05-08-2019,367.3472595,264.7327576,140.0203857,490.7030334,2337.833252,1733.408325,97.08115387,104.0977325,403.2189331,595.1082153
12-08-2019,348.5701904,268.3623352,136.2096252,480.0650635,2379.512939,1721.452759,92.30152893,101.6731567,396.2438354,591.2056885
19-08-2019,340.7667847,251.6660919,126.8007507,491.9366455,2353.836182,1750.964966,94.7620697,97.18173218,408.7607727,613.4992676
26-08-2019,356.7150879,284.9073181,124.6087341,497.9783936,2293.078613,1771.581543,97.28107452,96.94696045,433.151123,622.2910767
02-09-2019,356.7637939,303.9546814,133.9501648,498.0009155,2371.444336,1712.509644,101.5593491,102.3462296,408.8200684,647.5002441
09-09-2019,365.0062256,327.6535034,133.6803436,483.5641785,2475.442139,1699.706787,99.20029449,103.0661316,406.656189,636.510498
16-09-2019,371.3465271,323.8841553,134.9281464,474.7844849,2552.381348,1854.281494,95.84164429,106.8656311,397.8566589,628.7504272
23-09-2019,398.5610352,376.7753906,134.4559937,471.1412964,2433.138184,1893.019165,93.60253906,105.1858444,386.3162231,631.845459
30-09-2019,384.9049988,413.4665222,125.3168945,488.3613586,2378.888428,1830.229248,93.8824234,103.6260605,371.2655334,635.2993774
07-10-2019,398.9999695,391.3716736,127.5089493,488.5423889,2316.079834,1887.13562,93.32263947,103.1861191,371.5059509,647.2312012
14-10-2019,411.3392029,417.2759705,138.9075317,495.7834778,2359.140869,1983.344604,96.80125427,114.7845612,386.2681274,658.6694946
21-10-2019,389.9772339,422.4889221,136.8166504,511.6230774,2379.42334,2014.31543,95.00197601,111.8649597,401.7514954,651.9859619
28-10-2019,380.1741638,416.5542603,139.6831818,521.3531494,2413.524658,2062.258057,97.16110992,115.3044815,420.7932739,682.2190552
04-11-2019,376.6625977,403.2010498,141.1332703,521.4026489,2359.854248,1974.30188,93.8824234,110.6251144,405.934967,691.9976807
11-11-2019,357.3003235,406.2485962,135.6700439,517.8666992,2267.357178,1947.143799,93.84243774,108.4254074,399.1549683,674.5935669
18-11-2019,362.3237915,408.5343018,134.2199402,505.3766479,2176.776855,1919.370728,94.20230103,107.0655899,434.7860413,676.6121216
25-11-2019,372.6633301,410.2585754,138.435379,511.2250366,2169.600098,1925.94751,93.04275513,105.3858261,432.6222229,683.1162109
02-12-2019,357.1539917,391.7727051,129.498642,508.0287476,2105.989014,1917.194458,90.08394623,101.2263794,412.1860046,679.5725708
